"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Jose Soto","Phillies (R)","20","29","89","104","19","11","4","3","1","11","7","12","0","21","1","1","1","1","3","2",".213","sa3001424"
"Roberto Sosa","Red Sox (R)","21","28","89","101","19","11","6","0","2","8","8","11","1","26","1","0","0","2","0","0",".213","sa328487"
"Kyle Geiger","- - -","24","91","328","357","70","56","11","0","3","32","26","21","0","73","4","1","3","14","1","0",".213","sa226172"
"Thomas Collaro","White Sox (AA)","23","108","389","417","83","53","17","2","11","36","51","20","1","128","3","3","2","12","1","4",".213","sa202677"
"Luke Cannon","Padres (A-)","21","44","136","156","29","20","3","1","5","19","14","17","0","52","2","1","0","1","0","0",".213","sa328131"
"Paul Witt","- - -","23","71","183","209","39","35","4","0","0","24","8","14","0","34","4","1","7","3","8","2",".213","sa294654"
"Elvis Morel","Orioles (R)","25","22","61","83","13","10","3","0","0","14","7","16","1","8","2","0","4","1","7","1",".213","sa3000180"
"Victor Santana","Giants (R)","17","47","122","146","26","21","4","0","1","16","16","17","1","35","5","2","0","2","1","2",".213","sa503674"
"Ryan Jorgensen","Reds (AAA)","27","74","230","269","49","32","9","0","8","25","30","31","5","57","4","2","2","4","1","0",".213","7056"
"Yonathan Sivira","- - -","22","59","169","183","36","27","7","1","1","24","16","10","0","24","1","0","3","5","5","1",".213","sa254519"
"Richard D Oleo","Orioles (R)","20","46","169","203","36","23","9","1","3","24","21","30","0","53","0","2","2","1","6","1",".213","sa329206"
"Derrick Mitchell","Phillies (R)","19","32","108","120","23","15","6","0","2","12","12","8","0","21","3","0","1","2","6","4",".213","sa295726"
"J.J. Furmaniak","Pirates (AAA)","26","114","371","403","79","58","12","3","6","43","27","25","2","85","2","1","4","11","15","5",".213","3054"
"J.R. Taylor","- - -","23","108","329","400","70","54","15","0","1","37","24","55","0","55","5","1","10","5","12","6",".213","sa200580"
"Brandon Taylor","Cubs (A)","23","53","188","203","40","25","11","1","3","14","18","7","0","33","5","2","1","8","2","3",".213","sa291812"
"Roberto Espinoza","Cardinals (R)","17","45","94","130","20","15","4","0","1","10","7","29","1","23","6","0","1","2","1","1",".213","sa396236"
"Brandon Snyder","- - -","19","72","268","290","57","32","20","1","4","26","31","14","0","98","1","4","3","5","2","1",".213","9856"
"Brandon Allen","White Sox (A)","20","109","395","427","84","50","17","2","15","36","68","22","0","126","3","4","3","8","6","4",".213","7436"
"Radames Nazario","- - -","19","57","174","207","37","35","2","0","0","24","10","24","0","36","4","0","5","5","9","3",".213","sa291163"
"Justin Hatcher","- - -","26","43","127","143","27","25","1","0","1","16","12","14","0","34","1","1","0","0","2","1",".213","sa225968"
"Elias Rafael Inoa","Dodgers (R)","27","40","127","155","27","23","2","1","1","19","17","25","0","25","1","0","2","0","12","5",".213","sa3001204"
"Adam Davis","Indians (A-)","21","66","254","279","54","39","9","5","1","37","15","21","0","49","1","1","2","1","9","5",".213","sa326690"
"Brandon Gottier","Padres (A)","24","62","207","229","44","30","13","0","1","16","16","17","0","52","3","1","1","8","1","3",".213","sa293727"
"Daniel Murphy","- - -","21","25","80","93","17","14","1","0","2","6","10","12","1","7","0","1","0","4","0","0",".213","4316"
"Shawn O'Malley","Devil Rays (R)","18","50","160","189","34","28","4","1","1","28","10","16","0","38","7","1","5","3","10","3",".213","9629"
