"Name","Team","Age","PA","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","Pull%","Cent%","Oppo%","SwStr%","Balls","Strikes","Pitches","playerid"
"Jonathan Villar","Phillies (R)","17","255",".356","0.76","14.2 %","37.2 %","48.6 %","29.2 %","1.4 %","40.9 %","32.1 %","27.0 %","27.4 %","148","320","468","10071"
"Tommy Watkins","Twins (AAA)","28","265",".249","1.25","16.9 %","46.2 %","36.9 %","30.6 %","1.4 %","42.7 %","24.8 %","32.5 %","7.1 %","381","586","967","2465"
"Sergio Guerrero","Mexican (AAA)","33","299",".263","1.75","15.0 %","54.1 %","30.9 %","30.6 %","1.4 %","47.3 %","21.2 %","31.5 %","5.8 %","413","608","1021","sa207540"
"Raul Gomez","Marlins (R)","19","211",".211","0.85","8.3 %","42.1 %","49.7 %","41.7 %","1.4 %","47.0 %","27.5 %","25.5 %","27.7 %","84","274","358","sa3001799"
"Jorge Castillo","- - -","21","256",".410","1.42","15.9 %","49.3 %","34.8 %","13.9 %","1.4 %","43.4 %","25.0 %","31.6 %","19.4 %","71","295","366","sa455497"
"Kurt Calvert","- - -","22","268",".255","1.32","9.7 %","51.4 %","38.9 %","27.8 %","1.4 %","41.8 %","24.2 %","34.0 %","17.4 %","143","305","448","sa455868"
"Luis Castillo","Tigers (R)","19","245",".271","1.07","18.1 %","42.3 %","39.6 %","27.8 %","1.4 %","36.5 %","25.0 %","38.5 %","16.7 %","123","266","389","sa503229"
"Clint Sammons","Braves (AAA)","25","305",".298","1.34","19.3 %","46.2 %","34.4 %","23.3 %","1.4 %","48.4 %","22.8 %","28.8 %","11.9 %","333","680","1013","8243"
"Quincy Foster","Mexican (AAA)","33","417",".366","2.52","15.2 %","60.7 %","24.1 %","28.8 %","1.4 %","41.6 %","22.1 %","36.3 %","4.1 %","677","960","1637","sa203286"
"Mike Gosse","Tigers (A-)","22","253",".290","1.48","14.6 %","50.9 %","34.4 %","32.9 %","1.4 %","42.7 %","25.0 %","32.3 %","13.4 %","72","272","344","sa455335"
"Jose Guadalupe Chavez","- - -","23","392",".306","2.04","15.4 %","56.8 %","27.8 %","28.4 %","1.4 %","49.1 %","27.5 %","23.3 %","6.6 %","526","895","1421","sa288775"
"Oliver Marmol","- - -","21","308",".248","1.34","15.6 %","48.3 %","36.1 %","32.4 %","1.4 %","53.8 %","20.3 %","25.9 %","34.7 %","85","423","508","sa389260"
"Omar Luna","Rays (A)","21","413",".292","2.72","14.1 %","62.8 %","23.1 %","18.9 %","1.4 %","40.7 %","19.6 %","39.8 %","22.3 %","78","515","593","sa392852"
"Francisco Rivera","Cardinals (A)","19","279",".330","1.17","23.1 %","41.5 %","35.4 %","26.7 %","1.3 %","46.3 %","23.6 %","30.1 %","18.1 %","100","330","430","sa452248"
"Pedro Tavarez","Dodgers (R)","21","233",".234","1.15","10.6 %","47.8 %","41.7 %","22.7 %","1.3 %","40.6 %","32.8 %","26.6 %","13.0 %","92","246","338","sa502597"
"Jonatan Santana","Athletics (R)","20","248",".324","0.97","11.4 %","43.7 %","44.9 %","24.0 %","1.3 %","46.7 %","37.2 %","16.1 %","18.2 %","152","271","423","sa506018"
"Dale Mollenhauer","- - -","22","524",".333","1.14","19.0 %","43.1 %","37.8 %","18.5 %","1.3 %","41.9 %","25.1 %","33.1 %","19.6 %","132","653","785","sa390184"
"Rafael Ortega","Rockies (R)","17","218",".302","0.88","13.3 %","40.6 %","46.1 %","25.0 %","1.3 %","36.9 %","35.8 %","27.3 %","15.4 %","93","239","332","10323"
"Erick Rodriguez","Mexican (AAA)","28","357",".330","2.07","19.1 %","54.5 %","26.4 %","26.3 %","1.3 %","43.5 %","23.8 %","32.8 %","4.4 %","494","781","1275","sa509641"
"Juan Cuello","Rays (R)","19","269",".338","1.12","14.2 %","45.3 %","40.5 %","22.1 %","1.3 %","31.0 %","39.5 %","29.5 %","19.8 %","131","308","439","sa503245"
"Tomas Telis","Rangers (R)","17","266",".315","1.42","10.4 %","52.6 %","37.0 %","20.5 %","1.3 %","37.6 %","31.2 %","31.2 %","13.0 %","118","273","391","10067"
"Andres Blanco","Cubs (AAA)","24","330",".312","1.78","18.4 %","52.3 %","29.3 %","24.4 %","1.3 %","33.8 %","31.3 %","34.9 %","6.9 %","369","713","1082","1907"
"Alfredo Marte","Diamondbacks (A-)","19","305",".295","1.31","16.7 %","47.2 %","36.1 %","29.5 %","1.3 %","42.4 %","25.1 %","32.5 %","19.3 %","116","370","486","5212"
"Oswaldo Navarro","Mariners (AAA)","23","395",".322","1.73","22.9 %","48.9 %","28.2 %","21.5 %","1.3 %","38.4 %","19.0 %","42.6 %","7.5 %","569","1024","1593","3868"
"Sergio Contreras","Mexican (AAA)","28","346",".365","1.53","19.4 %","48.8 %","31.9 %","22.8 %","1.3 %","43.6 %","24.7 %","31.7 %","7.1 %","391","775","1166","sa199023"
"Jodam Rivera","Padres (A+)","22","272",".255","1.13","10.2 %","47.6 %","42.2 %","29.1 %","1.3 %","47.7 %","19.2 %","33.2 %","17.0 %","166","311","477","sa254175"
"Andres Perez","Mets (R)","18","266",".316","1.10","9.8 %","47.3 %","42.9 %","34.2 %","1.3 %","40.3 %","34.6 %","25.1 %","28.9 %","101","321","422","sa3001830"
"Rony Peralta","Marlins (R)","17","268",".317","0.86","9.3 %","42.0 %","48.8 %","31.6 %","1.3 %","43.2 %","33.7 %","23.1 %","25.8 %","194","318","512","sa503012"
"Fausto Natera","- - -","19","284",".347","0.95","15.8 %","41.0 %","43.2 %","36.7 %","1.3 %","38.7 %","32.0 %","29.4 %","23.5 %","162","328","490","sa506136"
"Chris Walker","Angels (AAA)","27","345",".308","1.59","18.5 %","50.0 %","31.5 %","31.3 %","1.3 %","49.8 %","24.9 %","25.3 %","8.3 %","379","787","1166","sa201539"
"Nyjer Morgan","Pirates (AAA)","27","352",".347","1.78","16.0 %","53.7 %","30.2 %","17.3 %","1.2 %","36.9 %","28.0 %","35.1 %","6.8 %","406","820","1226","4885"
"Nick Haley","Rockies (A+)","24","410",".309","1.64","14.4 %","53.2 %","32.4 %","13.6 %","1.2 %","42.4 %","25.7 %","32.0 %","23.4 %","229","511","740","sa388360"
"Joe Persichina","- - -","23","368",".298","1.73","17.5 %","52.2 %","30.2 %","14.8 %","1.2 %","40.4 %","29.2 %","30.3 %","23.4 %","163","535","698","sa393408"
