"Name","Team","Age","W","L","ERA","G","GS","CG","ShO","SV","BS","HLD","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Carlos Faria","- - -","22","1","5","7.12","14","5","0","0","0","1","1","30.1","142","36","27","24","3","15","0","6","2","0","28","sa329817"
"Jose Santos","Angels (R)","19","0","1","7.13","14","0","0","0","2","0","2","24.0","117","30","21","19","3","9","0","6","3","0","17","sa3000426"
"Michael Wagner","- - -","22","1","3","7.13","30","0","0","0","0","0","0","48.0","237","60","39","38","5","35","2","7","5","0","49","sa328014"
"Michael Kirkman","- - -","20","1","5","7.14","14","8","0","0","0","0","0","40.1","209","50","42","32","3","37","0","2","8","0","36","9877"
"Brian Bowles","Giants (AAA)","30","0","2","7.16","9","6","0","0","0","0","0","27.2","134","40","25","22","3","12","0","4","4","0","8","1290"
"Luis Rivera","Mexican (AAA)","29","7","8","7.16","20","20","1","0","0","0","0","93.0","449","109","85","74","13","67","1","8","15","2","55","sa8520"
"Cephas Howard","Angels (R)","22","2","1","7.17","20","0","0","0","0","0","2","21.1","102","28","19","17","1","9","0","1","8","0","26","sa390230"
"Eliezer Murillo","Braves (R)","18","1","2","7.18","15","0","0","0","1","2","0","26.1","119","21","23","21","4","15","0","5","8","0","14","sa393053"
"Anthony Drinkard","Brewers (R)","22","1","3","7.18","14","0","0","0","1","0","0","26.1","129","32","30","21","1","10","0","2","4","0","14","sa393412"
"Jeff Sues","Pirates (A)","24","3","2","7.18","8","8","0","0","0","0","0","31.1","146","37","26","25","9","19","0","1","3","0","26","sa291428"
"Jon Haldis","Dodgers (R)","20","0","1","7.18","18","1","0","0","0","1","0","31.1","146","42","26","25","6","14","0","1","6","1","28","sa295734"
"Todd Privett","- - -","21","0","4","7.18","12","4","0","0","0","1","1","36.1","170","50","30","29","4","8","0","6","2","0","30","sa327800"
"Pedro Camara","- - -","32","4","4","7.19","44","4","0","0","0","2","11","46.1","215","59","40","37","8","20","0","1","4","0","36","sa185648"
"Andrew Bowman","Reds (R)","21","1","5","7.19","14","14","0","0","0","0","0","51.1","249","78","54","41","3","19","0","3","1","0","41","sa388971"
"Tom Martin","Rockies (AAA)","37","0","0","7.20","5","0","0","0","0","0","2","5.0","22","6","4","4","2","1","0","0","0","0","4","1219"
"Franklyn Ovando","Royals (R)","18","0","1","7.20","2","0","0","0","0","0","1","5.0","23","5","4","4","1","4","0","0","3","0","3","sa3000420"
"Pedro Mendez","Blue Jays (R)","19","2","3","7.20","14","1","0","0","0","2","1","30.0","142","30","28","24","2","21","0","1","5","0","19","sa3000500"
"Kelvin De Leon","Rangers (R)","18","0","2","7.20","13","3","0","0","0","0","2","25.0","126","28","22","20","1","27","0","2","5","1","19","sa3000556"
"Yobanis Salazar","Indians (R)","18","0","1","7.20","4","1","0","0","0","0","1","5.0","28","5","6","4","0","4","0","2","2","0","4","sa3000793"
"Ryan Hodinka","- - -","23","1","1","7.20","15","0","0","0","0","1","0","10.0","59","15","14","8","2","11","0","2","1","1","7","sa328518"
"James Curtis","Braves (A)","21","3","5","7.21","27","3","0","0","1","2","2","48.2","231","67","43","39","6","27","0","1","6","0","39","sa326095"
"Luis Carlin","Padres (R)","18","1","1","7.23","13","0","0","0","0","0","0","23.2","124","38","30","19","0","14","0","4","4","0","14","sa541821"
